id,title,image_url,calories,protein,carbs,fat,prep_time,cook_time,difficulty,steps
1,High-Protein Overnight Oats,https://images.unsplash.com/photo-1517673400267-0251440c45dc?auto=format&fit=crop&w=800&q=80,380,28,45,8,5,0,Easy,"[""Mix oats, protein powder, and chia seeds in a jar."", ""Add almond milk and stir well."", ""Refrigerate overnight."", ""Top with berries before eating.""]"
2,Spinach & Egg White Frittata,https://images.unsplash.com/photo-1587132137056-bfbf0166836e?auto=format&fit=crop&w=800&q=80,250,30,5,10,10,15,Easy,"[""Whisk egg whites with salt and pepper."", ""Saut\u00e9 spinach in a non-stick pan."", ""Pour egg whites over spinach."", ""Cover and cook until set.""]"
3,Greek Yogurt Power Bowl,https://images.unsplash.com/photo-1488477181946-6428a0291777?auto=format&fit=crop&w=800&q=80,350,22,38,11,5,0,Easy,"[""Scoop yogurt into a bowl."", ""Top with granola, banana slices, and honey."", ""Sprinkle with crushed walnuts.""]"
4,Avocado Toast with Poached Egg,https://images.unsplash.com/photo-1525351484163-7529414395d8?auto=format&fit=crop&w=800&q=80,400,18,35,22,5,5,Medium,"[""Toast the whole grain bread."", ""Mash avocado with lime juice and spread on toast."", ""Poach the egg in simmering water for 3 minutes."", ""Place egg on toast and season.""]"
5,Protein Banana Pancakes,https://images.unsplash.com/photo-1565299585323-38d6b0865b47?auto=format&fit=crop&w=800&q=80,450,35,50,10,10,10,Medium,"[""Mash banana and mix with eggs and protein powder."", ""Heat a pan with cooking spray."", ""Pour batter and cook 2 mins per side."", ""Serve with sugar-free syrup.""]"
6,Lemon Herb Grilled Chicken,https://images.unsplash.com/photo-1604908176997-125f25cc6f3d?auto=format&fit=crop&w=800&q=80,420,45,30,12,15,15,Medium,"[""Marinate chicken with lemon, garlic, and herbs."", ""Grill for 6-8 mins per side."", ""Serve with steamed quinoa and broccoli.""]"
7,Chicken Burrito Bowl,https://images.unsplash.com/photo-1543339308-43e59d6b73a6?auto=format&fit=crop&w=800&q=80,550,40,65,15,20,15,Medium,"[""Cook brown rice."", ""Grill chicken strips with taco seasoning."", ""Assemble bowl with rice, beans, corn, and chicken."", ""Top with salsa.""]"
8,Turkey Chili,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=800&q=80,380,35,40,10,15,30,Medium,"[""Saut\u00e9 onions and garlic."", ""Add ground turkey and brown."", ""Add tomatoes, beans, and chili powder."", ""Simmer for 20 minutes.""]"
9,Pesto Chicken Zoodles,https://images.unsplash.com/photo-1551248429-40975aa4de74?auto=format&fit=crop&w=800&q=80,350,38,12,18,15,10,Easy,"[""Spiralize zucchini into noodles."", ""Cook chicken pieces in a pan."", ""Add zucchini noodles and toss for 2 mins."", ""Stir in pesto sauce.""]"
10,Lean Beef Stir-Fry,https://images.unsplash.com/photo-1512058564366-18510be2db19?auto=format&fit=crop&w=800&q=80,480,42,50,14,15,10,Medium,"[""Slice beef thinly."", ""Stir-fry beef in hot wok for 2 mins."", ""Add peppers and snap peas."", ""Toss with soy sauce and ginger.""]"
