recipe_id,name,amount,unit
1,Rolled Oats,50,g
1,Whey Protein,30,g
1,Almond Milk,200,ml
1,Chia Seeds,10,g
1,Mixed Berries,50,g
2,Egg Whites,200,g
2,Fresh Spinach,100,g
2,Cherry Tomatoes,50,g
2,Feta Cheese,20,g
2,Salt,1,g
2,Black Pepper,1,g
3,Greek Yogurt (0% Fat),200,g
3,Banana,100,g
3,Honey,15,g
3,Walnuts,10,g
3,Granola (Low Sugar),30,g
4,Whole Grain Bread,70,g
4,Avocado,80,g
4,Egg (Large),50,g
4,Lime Juice,5,ml
5,Banana,120,g
5,Eggs,100,g
5,Whey Protein,30,g
5,Rolled Oats,30,g
5,Cooking Spray,1,g
6,Chicken Breast (Raw),200,g
6,Cooked Quinoa,150,g
6,Broccoli,100,g
6,Lemon Juice,15,ml
6,Garlic Minced,5,g
6,Dried Mixed Herbs,2,g
7,Chicken Breast (Raw),150,g
7,Cooked Brown Rice,150,g
7,Black Beans (Canned/Drained),50,g
7,Corn (Canned/Drained),50,g
7,Salsa,30,g
7,Taco Seasoning,5,g
8,Ground Turkey (Lean),150,g
8,Kidney Beans (Canned/Drained),100,g
8,Canned Tomatoes,200,g
8,Onion,50,g
8,Garlic Minced,5,g
8,Chili Powder,3,g
9,Chicken Breast (Raw),150,g
9,Zucchini,200,g
9,Basil Pesto,30,g
9,Cherry Tomatoes,50,g
10,Lean Beef Steak,150,g
10,Bell Pepper,100,g
10,Snap Peas,50,g
10,Soy Sauce,15,ml
10,Cooked White Rice,150,g
10,Ginger Minced,5,g
11,Sirloin Steak,180,g
11,Sweet Potato,150,g
11,Green Beans,100,g
11,Olive Oil,5,ml
11,Salt,1,g
11,Black Pepper,1,g
12,Ground Beef (Lean),150,g
12,Broccoli,150,g
12,Oyster Sauce,15,ml
12,Cooked White Rice,100,g
12,Garlic Minced,5,g
12,Ginger Minced,5,g
13,Salmon Fillet,180,g
13,Asparagus,100,g
13,Lemon Juice,10,ml
13,Olive Oil,10,ml
14,Shrimp (Raw),150,g
14,Cooked Quinoa,150,g
14,Cucumber,80,g
14,Garlic Minced,5,g
14,Paprika,2,g
14,Lime Juice,10,ml
15,Cod Fillet,180,g
15,Cherry Tomatoes,100,g
15,Zucchini,150,g
15,Dried Mixed Herbs,2,g
16,Canned Tuna (Drained),120,g
16,Greek Yogurt,30,g
16,Celery,40,g
16,Lettuce Leaves,40,g
16,Dijon Mustard,5,g
16,Black Pepper,1,g
17,Firm Tofu,200,g
17,Kale,50,g
17,Onion,40,g
17,Nutritional Yeast,10,g
17,Turmeric Powder,2,g
18,Chickpeas (Canned/Drained),200,g
18,Coconut Milk (Light),100,ml
18,Spinach,50,g
18,Red Curry Paste,15,g
18,Onion,50,g
19,Dried Lentils,100,g
19,Carrot,80,g
19,Celery,40,g
19,Onion,50,g
19,Vegetable Broth,500,ml
20,Low-Fat Cottage Cheese,200,g
20,Peach (Sliced),100,g
20,Honey,5,ml
